
Name,Website,Category,Classification,Notes
City of Newport Beach,https://www.newportbeachca.gov,Municipal utility,ACWA member,City water services
City of Oceanside – Water Utilities Department,https://www.ci.oceanside.ca.us,Municipal utility,ACWA member,Provides water and wastewater services
City of Pasadena – Water & Power,https://ww5.cityofpasadena.net,Community‑owned utility,ACWA & CMUA member,City water and power utility
City of Petaluma,https://cityofpetaluma.org,Municipal utility,ACWA member,City water services
City of Pleasanton,https://www.cityofpleasantonca.gov,Municipal utility,ACWA member,City water services
City of Poway,https://www.poway.org,Municipal utility,ACWA member,City water services
City of Redding – Water Utility,https://www.cityofredding.org,Municipal utility,ACWA & CMUA member,City water services
City of Rialto – Utility Authority,https://www.yourrialto.com,Municipal utility,ACWA member,City water and wastewater services
City of Riverside – Public Utilities,https://riversideca.gov,Community‑owned utility,ACWA & CMUA member,City water and electric utility
City of Roseville,https://www.roseville.ca.us,Municipal utility,ACWA & CMUA member,City water and electric utility
City of Sacramento – Department of Utilities,https://www.cityofsacramento.org,Municipal utility,ACWA & CMUA member,Provides water and wastewater services
City of San Diego – Public Utilities,https://www.sandiego.gov,Municipal utility,ACWA member,City water and wastewater utility
City of San Juan Bautista,https://www.san-juan-bautista.ca.us,Municipal utility,ACWA member,City water services
City of Santa Ana,https://www.ci.santa-ana.ca.us,Municipal utility,ACWA & CMUA member,City water services
City of Santa Cruz – Water Department,https://www.cityofsantacruz.com,Municipal utility,ACWA member,City water utility
City of Santa Rosa – Water Department,https://srcity.org,Municipal utility,ACWA member,City water services
City of Shasta Lake,https://cityofshastalake.org,Municipal utility,ACWA & CMUA member,City water services
City of Tehachapi,https://www.liveuptehachapi.com,Municipal utility,ACWA member,City water services
City of Vacaville – Utilities Department,https://www.ci.vacaville.ca.us,Municipal utility,ACWA member,City water services
City of Vallejo,https://www.ci.vallejo.ca.us,Municipal utility,ACWA member,City water services
City of Watsonville – Water Department,https://www.cityofwatsonville.org,Municipal utility,ACWA member,City water services
City of Yuba City,https://www.yubacity.net,Municipal utility,ACWA member,City water services
Clear Creek Community Services District,https://www.clearcreekcsd.org,Community‑owned utility,ACWA member,Provides water services near Redding
Clearlake Oaks County Water District,https://www.clocwd.org,Community‑owned utility,ACWA member,Water district serving Clearlake Oaks
Coachella Water Authority,https://www.coachella.org,Community‑owned utility,ACWA member,City water authority in Coachella
Coastside County Water District,https://www.coastsidewater.org,Community‑owned utility,ACWA member,Water district serving Half Moon Bay
County of Tuolumne – County Water Agency,https://www.tuolumnecounty.ca.gov,County water agency,ACWA member,County water agency
Crescenta Valley Water District,https://www.cvwd.com,Community‑owned utility,ACWA member,Water district serving Crescenta Valley
Crestline Village Water District,https://www.cvwater.com,Community‑owned utility,ACWA member,Water district in Crestline
Crestline‑Lake Arrowhead Water Agency,https://www.clawa.org,Community‑owned utility,ACWA member,Wholesale water agency in San Bernardino Mountains
Cucamonga Valley Water District,https://www.cvwdwater.com,Community‑owned utility,ACWA member,Water district serving Rancho Cucamonga area
Del Puerto Water District,https://www.stancounty.com,Community‑owned utility,ACWA member,Water district in Stanislaus County
Delano‑Earlimart Irrigation District,https://www.deid.org,Community‑owned utility,ACWA member,Irrigation district in Tulare County
Delta Conveyance Design and Construction Authority,https://dcdca.org,Joint powers authority,ACWA member,Manages Delta conveyance project
Desert Water Agency,https://dwa.org,Community‑owned utility,ACWA member,Water district serving Palm Springs
Diablo Water District,https://www.diablowater.org,Community‑owned utility,ACWA member,Water district serving east Contra Costa County
Dublin San Ramon Services District,https://www.dsrsd.com,Community‑owned utility,ACWA member,"Provides water, wastewater and recycled water services"
Dudley Ridge Water District,https://provostandpritchard.com,Community‑owned utility,ACWA member,Irrigation district in Kings County
East Contra Costa Irrigation District,https://www.eccid.org,Community‑owned utility,ACWA member,Irrigation district in eastern Contra Costa County
East Orange County Water District,https://www.eocwd.com,Community‑owned utility,ACWA member,Water district in Orange County
East Valley Water District,https://www.eastvalley.org,Community‑owned utility,ACWA member,Provides water and wastewater services in Highland area
El Dorado County Water Agency,https://www.edwateragency.org,County water agency,ACWA member,County water agency managing resources
El Dorado Irrigation District,https://www.eid.org,Community‑owned utility,ACWA member,"Water, wastewater and power district"
El Toro Water District,https://etwd.com,Community‑owned utility,ACWA member,Water and sewer district in Laguna Woods area
Elk Grove Water District – Dept. of FRCD,https://www.egwd.org,Community‑owned utility,ACWA member,Provides water service in Elk Grove
Fair Oaks Water District,https://www.fowd.com,Community‑owned utility,ACWA member,Water district serving Fair Oaks
Fallbrook Public Utility District,https://www.fpud.com,Community‑owned utility,ACWA member,Provides water and sewer services in Fallbrook
Foothill Municipal Water District,https://www.fmwd.com,Community‑owned utility,ACWA member,Wholesale water district serving foothill communities
Forestville Water District,https://www.forestvillewd.com,Community‑owned utility,ACWA member,Provides water service in Forestville
Frazier Park Public Utility District,https://www.frazierparkwater.com,Community‑owned utility,ACWA member,Provides water service to Frazier Park
Fresno Irrigation District,https://www.fresnoirrigation.com,Community‑owned utility,ACWA member,Irrigation district in Fresno County
Fresno Metropolitan Flood Control District,https://www.fresnofloodcontrol.org,Flood control district,ACWA member,Provides flood control services in Fresno
Friant Water Authority,https://friantwater.org,Joint powers authority,ACWA member,Manages Friant Division of Central Valley Project
Georgetown Divide Public Utility District,https://www.gd-pud.org,Community‑owned utility,ACWA member,Provides water and wastewater service in Georgetown area
Glenn‑Colusa Irrigation District,https://www.gcid.net,Community‑owned utility,ACWA member,Irrigation district in Glenn and Colusa counties
Golden Hills Community Services District,https://ghcsd.com,Community‑owned utility,ACWA member,Provides water and services in Golden Hills
Grassland Water District,https://gwdwater.org,Community‑owned utility,ACWA member,Manages water deliveries for wetland habitat
Helix Water District,https://hwd.com,Community‑owned utility,ACWA member,Provides water service in East County San Diego
Hi‑Desert Water District,https://www.hdwd.com,Community‑owned utility,ACWA member,Provides water and wastewater services in Yucca Valley
Hidden Valley Lake Community Services District,https://www.hvlcsd.org,Community‑owned utility,ACWA member,Provides water and sewer services in Hidden Valley Lake
Humboldt Bay Municipal Water District,https://www.hbmwd.com,Community‑owned utility,ACWA member,Provides wholesale water in Humboldt County
Humboldt Community Services District,https://www.humboldtcsd.org,Community‑owned utility,ACWA member,Provides water and wastewater services in Eureka area
Idyllwild Water District,https://www.idyllwildwater.com,Community‑owned utility,ACWA member,Water district in Idyllwild
Indian Wells Valley Water District,https://www.iwvwd.com,Community‑owned utility,ACWA member,Water district serving Ridgecrest area
Indio Water Authority,https://www.indio.org,Community‑owned utility,ACWA member,City water authority in Indio
Joshua Basin Water District,https://www.jbwd.com,Community‑owned utility,ACWA member,Provides water services in Joshua Tree area
Jurupa Community Services District,https://www.jcsd.us,Community‑owned utility,ACWA member,"Provides water, sewer and streetlight services"
Kaweah Delta Water Conservation District,https://www.kdwcd.com,Community‑owned utility,ACWA member,Manages water resources in Kaweah Delta
Kern County Water Agency,https://www.kcwa.com,Community‑owned utility,ACWA member,Manages state water supplies for Kern County
Kern Delta Water District,https://www.wakc.com,Community‑owned utility,ACWA member,Irrigation district in Kern County
Kings River Conservation District,https://www.krcd.org,Community‑owned utility,ACWA member,Manages water and power on Kings River
Kings River East Groundwater Sustainability Agency,https://kingsrivereast.org,Groundwater agency,ACWA member,GSA for Kings River East Basin
Kinneloa Irrigation District,https://www.kinneloairrigationdistrict.info,Community‑owned utility,ACWA member,Water district near Pasadena
La Canada Irrigation District,https://www.lacanadaid.org,Community‑owned utility,ACWA member,Water district in La Cañada Flintridge
La Puente Valley County Water District,https://www.lapuentewater.com,Community‑owned utility,ACWA member,Water district in La Puente
Laguna Beach County Water District,https://www.lagunabeachwater.com,Community‑owned utility,ACWA member,Water district serving Laguna Beach
Lake Arrowhead Community Services District,https://www.lakearrowheadcsd.com,Community‑owned utility,ACWA member,"Provides water, sewer and trash service in Lake Arrowhead"
Lake Don Pedro Community Services District,https://www.ldpcsd.org,Community‑owned utility,ACWA member,Provides water service around Lake Don Pedro
Lake Hemet Municipal Water District,https://www.lhmwd.org,Community‑owned utility,ACWA member,Provides water and sewer services in the San Jacinto Mountains
Lakeside Water District,https://www.lakesidewaterdistrict.com,Community‑owned utility,ACWA member,Water district in Lakeside (San Diego County)
Le Grand‑Athlone Water District,https://lgawd.org,Community‑owned utility,ACWA member,Irrigation district in Merced County
Lindsay‑Strathmore Irrigation District,https://www.lsid.org,Community‑owned utility,ACWA member,Irrigation district in Tulare County
Los Alamos Community Services District,https://www.losalamoscsd.com,Community‑owned utility,ACWA member,Provides water and sewer services in Los Alamos
Los Angeles County Waterworks Districts,https://dpw.lacounty.gov,County water agency,ACWA member,Provides water service in unincorporated LA County
Lost Hills Water District,https://www.lhwd.org,Community‑owned utility,ACWA member,Irrigation district in Kern County
Lower Tule River Irrigation District,https://www.ltrid.org,Community‑owned utility,ACWA member,Irrigation district in Tulare County
Lower Tule River Irrigation District Groundwater Sustainability Agency,https://www.ltrid.org,Groundwater agency,ACWA member,GSA for Lower Tule River basin
Madera County Water and Natural Resources,https://maderacountywater.com,County water agency,ACWA member,County water management department
Madera Irrigation District,https://www.madera-id.org,Community‑owned utility,ACWA member,Irrigation district in Madera County
Main San Gabriel Basin Watermaster,https://www.watermaster.org,Joint powers authority,ACWA member,Manages groundwater rights in the San Gabriel Basin
Mammoth Community Water District,https://www.mcwd.dst.ca.us,Community‑owned utility,ACWA member,Provides water and wastewater services in Mammoth Lakes
Mariana Ranchos County Water District,https://www.marianaranchoscwd.org,Community‑owned utility,ACWA member,Water district in San Bernardino County
Marin Municipal Water District,https://www.marinwater.org,Community‑owned utility,ACWA member,Provides water service in Marin County
Marina Coast Water District,https://www.mcwd.org,Community‑owned utility,ACWA member,Provides water and sewer services on Monterey Peninsula
Mariposa Public Utility District,https://www.mariposapud.org,Community‑owned utility,ACWA member,Provides water and sewer services in Mariposa
McKinleyville Community Services District,https://www.mckinleyvillecsd.com,Community‑owned utility,ACWA & CMUA member,"Provides water and sewer serviceshttps://www.acwa.com/about/directory/region/#:~:text=,District"
McMullin Area Groundwater Sustainability Agency,https://www.mcmullinarea.org,Groundwater agency,ACWA member,GSA for the McMullin area
Mendocino County Russian River Flood Control & Water Conservation Improvement District,https://www.rrfc.net,Community‑owned utility,ACWA member,Flood control and water supply district in Mendocino County
Merced Integrated Regional Water Management Authority,https://www.mercedid.com,Joint powers authority,ACWA member,Water management authority in Merced County
Merced Irrigation District (repeated),https://www.mercedid.com,Community‑owned utility,ACWA & CMUA member,Irrigation district in Merced County
Merced Irrigation‑Urban Groundwater Sustainability Agency,https://miugsa.org,Groundwater agency,ACWA member,GSA for urban Merced area
Mid‑Kaweah Groundwater Sustainability Agency,https://www.midkaweah.org,Groundwater agency,ACWA member,GSA for Mid‑Kaweah basin
Mid‑Peninsula Water District,https://www.midpeninsulawater.org,Community‑owned utility,ACWA member,Water district serving Belmont area
Mid‑Valley Water District,https://provostandpritchard.com,Community‑owned utility,ACWA member,Irrigation district (limited info)
Midway Heights County Water District,https://www.mhcwd.org,Community‑owned utility,ACWA member,Provides water service near Auburn
Mission Hills Community Services District,https://www.mhcsd.org,Community‑owned utility,ACWA member,Provides water services in Mission Hills
Mission Springs Water District,https://www.mswd.org,Community‑owned utility,ACWA member,Provides water and wastewater services in Desert Hot Springs
Mojave Water Agency (repeated),https://www.mojavewater.org,Community‑owned utility,ACWA & CMUA member,Manages water resources in Mojave Desert
Monroeville Water District,https://monroevillewater.specialdistrict.org,Community‑owned utility,ACWA member,Small water district near Glenn
Montara Water & Sanitary District,https://www.mwsd.montara.org,Community‑owned utility,ACWA member,Provides water and sewer services on the San Mateo coast
Monte Vista Water District,https://www.mvwd.org,Community‑owned utility,ACWA member,Provides water service in Montclair
Montecito Sanitary District,https://www.montsan.org,Community‑owned utility,ACWA member,Provides wastewater services in Montecito
Montecito Water District,https://www.montecitowater.com,Community‑owned utility,ACWA member,Provides water service in Montecito
Monterey County Water Resources Agency,https://www.mcwater.info,County water agency,ACWA member,Manages water resources in Monterey County
Monterey One Water,https://www.montereyonewater.org,Community‑owned utility,ACWA member,Regional wastewater agency
Monterey Peninsula Water Management District,https://www.mpwmd.net,Community‑owned utility,ACWA member,Manages water supplies on Monterey Peninsula
Moulton Niguel Water District,https://www.mnwd.com,Community‑owned utility,ACWA member,Provides water and recycled water services in South Orange County
Mountain Gate Community Services District,https://www.mountaingatecsd.com,Community‑owned utility,ACWA member,Provides water and sewer services near Redding
Municipal Water District of Orange County (repeated),https://www.mwdoc.com,Community‑owned utility,ACWA & CMUA member,Wholesale water provider in Orange County
Nevada Irrigation District,https://www.nidwater.com,Community‑owned utility,ACWA member,Provides water supply in Nevada and Placer counties
North Coast County Water District,https://www.nccwd.com,Community‑owned utility,ACWA member,Provides water service to Pacifica
North Delta Water Agency,https://www.northdeltawater.net,Community‑owned utility,ACWA member,Water agency serving North Delta
North Marin Water District,https://www.nmwd.com,Community‑owned utility,ACWA member,Provides water service in Novato and Point Reyes
North San Joaquin Water Conservation District,https://www.nsjgroundwater.org,Community‑owned utility,ACWA member,Water conservation district
North Yuba Water District,https://www.nywd.org,Community‑owned utility,ACWA member,Provides irrigation and domestic water in Yuba County
Oakdale Irrigation District,https://www.oakdaleirrigation.com,Community‑owned utility,ACWA member,Irrigation district in Stanislaus and San Joaquin counties
Olivenhain Municipal Water District,https://www.olivenhain.com,Community‑owned utility,ACWA member,Provides water services in northern San Diego County
Orange Cove Irrigation District,https://www.orangecoveid.org,Community‑owned utility,ACWA member,Irrigation district in Fresno County
Orchard Dale Water District,https://www.odwd.org,Community‑owned utility,ACWA member,Water district serving Whittier and surrounding areas
Otay Water District (repeated),https://otaywater.gov,Community‑owned utility,ACWA & CMUA member,Provides potable and recycled water in east San Diego County
Padre Dam Municipal Water District (repeated),https://www.padredam.org,Community‑owned utility,ACWA & CMUA member,"Provides water, wastewater, recycled water"
Pajaro Valley Water Management Agency,https://www.pvwma.dst.ca.us,Community‑owned utility,ACWA member,Manages groundwater in Pajaro Valley
Pajaro/Sunny Mesa Community Services District,https://www.pajarosunnymesa.com,Community‑owned utility,ACWA member,Provides water service in Prunedale and Moss Landing
Palm Ranch Irrigation District,https://www.palmranchid.com,Community‑owned utility,ACWA member,Irrigation district in Fresno County
Palmdale Water District,https://www.palmdalewater.org,Community‑owned utility,ACWA member,Provides water service in Palmdale
Big Basin Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 774 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Lukins%20Brothers%20Water%20Company%20996,774%20988%201%2C922%20753"
Casmite Corporation (The),,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 988 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Lukins%20Brothers%20Water%20Company%20996,774%20988%201%2C922%20753"
Cazadero Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 259 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Cazadero%20Water%20Company%20151,259%20Alpine%20Village%20Water%20Company"
Tahoe Park Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 1000 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Rogina%20Water%20Company%20Sea%20Ranch,Park%20Water%20Company%201%2C945%2018%2C104"
Fulton Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 924 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=583%20Fulton%20Water%20Company%20924,Graeagle%20Water%20Company"
North Gualala Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 699 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=699%20661%20North%20Gualala%20Water,C%20Utility%20Penngrove%20Water%20Company"
Little Bear Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 661 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=699%20661%20North%20Gualala%20Water,C%20Utility%20Penngrove%20Water%20Company"
Agate Bay Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 583 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Agate%20Bay%20Water%20Company%20583,Fulton%20Water%20Company"
Graeagle Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 1000 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=583%20Fulton%20Water%20Company%20924,1%2C030%20Cold%20Springs%20Water%20Company"
West Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 56 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=GRAND%20TOTAL%20WATER%201%2C545%2C501%20West,Water%20Yerba%20Buena%20Water%20Company"
Western Water Cooperative (Ramona Water),,Investor‑owned water utility,Class D (<500 connections),"Approximately 167 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=GRAND%20TOTAL%20WATER%201%2C545%2C501%20West,Water%20Yerba%20Buena%20Water%20Company"
Yerba Buena Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 83 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=GRAND%20TOTAL%20WATER%201%2C545%2C501%20West,Water%20Company%20Total%20Class%20D"
Canada Woods Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 540 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=2%2C026%20540%20Canada%20Woods%20Water,Company%20Connections"
Cold Springs Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 538 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Cold%20Springs%20Water%20Company%20538,Erskine%20Creek%20Water%20Company"
Bass Lake Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 1000 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=North%20Gualala%20Water%20Company%20Little,Yosemite%20Spring%20Park%20Utility%20Company"
Nacimiento Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 1000 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=North%20Gualala%20Water%20Company%20Little,Yosemite%20Spring%20Park%20Utility%20Company"
Yosemite Spring Park Utility Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 1000 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=North%20Gualala%20Water%20Company%20Little,Company%20Total%20Class%20C%20Utility"
Penngrove Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 1000 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Utility%20Penngrove%20Water%20Company%20Rogina,Water%20Company"
Rogina Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 1000 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Utility%20Penngrove%20Water%20Company%20Rogina,Sea%20Ranch%20Water%20Company%2C%20The"
Sea Ranch Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 1000 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Utility%20Penngrove%20Water%20Company%20Rogina,Santa%20Catalina%20Island"
Erskine Creek Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 1000 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Erskine%20Creek%20Water%20Company%201%2C131,Lukins%20Brothers%20Water%20Company%20996"
California Hot Springs Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 1000 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Casmite%20Corporation%2C%20The%2014%20California,Big%20Basin%20Water%20Company%20535"
Alpine Village Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 151 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Cazadero%20Water%20Company%20151,Company%20Arroyo%20Center%20Water%20Company"
Arroyo Center Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 259 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Cazadero%20Water%20Company%20151,Water%20Company%20Baycliff%20Water%20Company"
Baycliff Water Company,,Investor‑owned water utility,Class C (500–2000 connections),Approximately 13 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Baycliff%20Water%20Company%2013
Central Camp Water Company,,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 90 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Baycliff%20Water%20Company%2013%20Central,Company%2090%20April%2021%2C%202025"
Cottage Springs Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 30 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,Havasu%20Water%20Company%20Utility%20Connections"
Easton Estates Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 340 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,5%20Utility%20January%20Water%20Company"
Foothill Ditch Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 493 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,5%20Utility%20January%20Water%20Company"
Goodyears Bar Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 10 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,5%20Utility%20January%20Water%20Company"
Havasu Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 54 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,Company%20Las%20Flores%20Water%20Works"
Llano Del Rio Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 198 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,10%2054%20198%2016%20106"
Long Canyon Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 16 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,10%2054%20198%2016%20106"
Lytle Springs Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 106 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,10%2054%20198%2016%20106"
Macdoel Water Works,,Investor‑owned water utility,Class D (<500 connections),"Approximately 18 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,54%20198%2016%20106%2018"
McMor Chlorination (Interstate 5 Utility),,Investor‑owned water utility,Class D (<500 connections),"Approximately 13 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,16%20106%2018%2013%20226"
January Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 226 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,16%20106%2018%2013%20226"
Keene Water System,,Investor‑owned water utility,Class D (<500 connections),"Approximately 15 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,13%20226%2015%2026%2057"
Kenwood Village Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 26 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,13%20226%2015%2026%2057"
Lake Alpine Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 57 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,226%2015%2026%2057%20149"
Lakeview Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 149 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,226%2015%2026%2057%20149"
Las Flores Water Works,,Investor‑owned water utility,Class D (<500 connections),"Approximately 6 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,15%2026%2057%20149%206"
NorCal Water Works,,Investor‑owned water utility,Class D (<500 connections),"Approximately 9 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,26%2057%20149%206%209"
Owens Valley Water Resources,,Investor‑owned water utility,Class D (<500 connections),"Approximately 14 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Connections%20Llano%20Del%20Rio%20Water,57%20149%206%209%2014"
Pierpoint Springs Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 100 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Pierpoint%20Springs%20Water%20Company%20Pinon,149%206%209%2014%20100"
